code,pe,pe_tushare,pb,pb_tushare,bvps,bvps21,price,net_profits,totalAssets,Goodwill,Intangible_assets,accounts_receivable,debt,totals,date,there_price,now_price,max90,min90
2805,80.22613297,58.44,4.297434997,3.85,5.426492784,5.203878866,23.32,2819.58,729163200.0,0,33873400,71978500.0,168920000.0,97000000.0,2017/9/30,23.23,23.2,29.98,20.289
2253,80.28222271,86.49,3.215082932,3.0,5.4057703539999995,5.202903761,17.38,4892.59,1527881500.0,2336600,133767800,145037500.0,172409600.0,226000000.0,2017/12/31,17.191,14.51,20.411,13.59
712,56.70920855,69.68,2.731018409,3.64,5.668215179,5.196338493,15.48,24458.25,33341055400.0,403806200,449081800,63317700.0,27813252800.0,896000000.0,2017/12/31,13.91,9.98,15.48,9.6
600058,341.2848587,314.63,1.5732816490000001,1.44,6.52775681,5.195324664,10.27,3225.88,21498252600.0,0,689019200,4761224200.0,13811478100.0,1072000000.0,2017/12/31,10.62,8.31,11.62,7.98
89,33.08243884,25.02,1.566030689,1.52,5.2808671380000005,5.195003569,8.27,51271.22,13021436100.0,0,230748100,587020600.0,1959629500.0,2051000000.0,2017/9/30,8.528,7.65,8.636,7.284
2244,10.23555686,13.07,1.4580536419999999,1.57,5.212428255,5.1911539630000005,7.6,230994.76,60244328700.0,593100,144613600,218637400.0,43883850800.0,3111000000.0,2017/12/31,7.737,5.2,7.737,4.96
948,126.562357,124.51,1.971019656,1.88,5.682338057000001,5.188678826,11.2,2185.8,2775101800.0,0,55594900,406446100.0,1315969400.0,247000000.0,2017/12/31,9.881,10.32,12.666,9.78
2251,65.65388136,50.17,2.216882444,1.97,6.414413194,5.18785463,14.22,18713.41,15418134700.0,1027404200,975501700,107808000.0,8900580000.0,864000000.0,2017/9/30,16.008,11.273,16.008,10.867
300581,124.1258199,95.43,5.371933977,5.14,5.789348888999999,5.1806745560000005,31.1,2254.97,657170400.0,0,11530100,182602300.0,124598900.0,90000000.0,2017/9/30,14.552,14.82,19.605,13.247
90,21.38546407,15.59,1.809979695,1.74,5.348126294,5.18046424,9.68,54226.74,23673731700.0,16490000,127466900,614563800.0,17139209500.0,1198000000.0,2017/9/30,7.889,6.2,8.278,6.13
600810,34.93798131,40.13,1.427274051,1.48,6.0955357470000004,5.175208235,8.7,11006.36,9781454600.0,0,270833400,1355949200.0,6816394400.0,442000000.0,2017/9/30,10.48,14.86,16.01,8.44
300049,0.0,53.68,0.0,2.33,6.028261597,5.171724867,0.0,6708.22,2483693300.0,135885600,322888400,297945200.0,575372100.0,263000000.0,2017/9/30,0.0,0.0,0.0,0.0
2825,93.40737464,69.2,4.434299617,4.11,5.333424,5.1705096,23.65,2531.92,733645700.0,0,35555300,54304800.0,164748000.0,100000000.0,2017/9/30,15.063,14.3,17.94,14.02
603580,84.02711371,65.33,5.55470244,5.31,5.336019403,5.16813403,29.64,2363.38,401252700.0,0,15586600,37494400.0,28152800.0,67000000.0,2017/9/30,18.123,17.34,22.823,16.37
300511,42.76359705,42.55,4.393322708,3.75,5.189693886000001,5.167072183,22.8,12209.45,3836376500.0,0,227916000,17267900.0,2420020600.0,229000000.0,2017/12/31,10.913,8.88,13.504,8.18
300615,100.6196818,74.32,4.768792653999999,4.61,5.45211375,5.162964375,26.0,2067.19,494758000.0,0,6270400,77106500.0,52318500.0,80000000.0,2017/9/30,12.955,19.66,22.56,12.911
828,12.44476214,12.37,2.057515111,1.94,5.1712864419999995,5.161014778999999,10.64,88917.73,10216656200.0,2725300,305830200,26524100.0,4532688100.0,1040000000.0,2017/12/31,10.128,7.98,10.807,7.705
603378,48.03327120000001,34.44,3.18252579,2.84,6.004664615,5.1604,19.11,7758.06,2098831300.0,0,81429700,548772000.0,846492000.0,195000000.0,2017/9/30,18.749,14.437,21.512,13.124
603958,128.4919301,88.49,2.210655146,2.18,5.260883871,5.159832673,11.63,1964.1,1405504500.0,0,6761300,73093700.0,257131400.0,217000000.0,2017/9/30,10.801,10.0,14.711,9.23
603336,63.87794648,50.18,4.446322342,4.52,5.591137594,5.158482782,24.86,5176.09,794589800.0,460500,22723800,190275300.0,28244700.0,133000000.0,2017/9/30,14.575,27.36,28.83,14.468
600426,31.16460524,21.26,3.1599715789999996,2.7,5.161438827,5.156722179,16.31,84782.72,15321909300.0,0,525024600,25469900.0,6435353800.0,1620000000.0,2017/9/30,17.712,17.59,21.603,14.723
539,20.09646986,22.46,0.8439954040000001,0.99,5.33178259,5.15044085,4.5,117557.96,70981629200.0,27486800,1671805100,3081857800.0,41317965500.0,5250000000.0,2017/9/30,4.445,4.24,4.642,4.19
600783,38.97782868,29.34,2.536255579,2.56,5.1729802419999995,5.1474054030000005,13.12,25043.16,5793754300.0,0,52641700,63425600.0,1892415300.0,744000000.0,2017/9/30,12.663,9.66,14.473,9.201
603677,32.2677651,31.55,3.9874044539999995,3.56,5.785718571,5.1465578569999995,23.07,10009.37,1393073500.0,0,77330900,298275000.0,505742000.0,140000000.0,2017/12/31,15.237,17.02,19.91,15.11
2849,64.58077315,46.23,4.292100628,3.97,5.910858621,5.143405517,25.37,3417.72,762998800.0,0,17014000,222561400.0,231740100.0,87000000.0,2017/9/30,16.322,17.12,23.895,15.279
422,-2.23867951,0.0,0.5788501389999999,0.78,5.37272049,5.142135067,3.11,-124751.22,38170565100.0,10273900,676962500,655972700.0,32668899600.0,898000000.0,2017/9/30,3.15,2.07,3.45,1.96
2637,68.75713284,33.37,1.52185603,1.74,5.834980332000001,5.13902128,8.88,5450.14,5199774200.0,144911400,98285500,495944400.0,2639127000.0,422000000.0,2017/9/30,8.898,10.1,10.12,8.321
2077,1435.798365,482.98,1.708750306,1.64,6.449157586,5.135117845,11.02,445.16,7060704000.0,580389400,129207200,605845500.0,3190985400.0,580000000.0,2017/9/30,11.3,8.2,11.77,7.95
626,29.03830742,21.72,2.179455951,2.36,5.437136728,5.120338648,11.85,24444.09,12523088100.0,841100,20348500,629736500.0,9245894700.0,599000000.0,2017/9/30,11.51,7.04,13.09,6.45
600329,31.06954697,23.1,2.561943523,2.53,5.65976567,5.114615956000001,14.5,35888.84,6788494800.0,1850800,176083900,1391231100.0,2260051100.0,769000000.0,2017/9/30,13.543,18.823,21.756,13.325
600215,568.2123456,433.24,1.96820737,2.0,5.223026882,5.109564237,10.28,841.27,3019044700.0,0,2360400,175867100.0,587976800.0,465000000.0,2017/9/30,10.696,7.59,11.156,7.321
603633,54.49583197,37.26,3.2793430839999997,2.9,5.601731667,5.105000667,18.37,4045.08,1088944000.0,0,21936000,198692400.0,394800200.0,120000000.0,2017/9/30,15.79,16.19,20.83,15.17
601015,29.94564989,37.36,1.454638745,1.72,5.204041228,5.101120263,7.57,31700.03,14021769600.0,1744600,624800500,424394300.0,6871101400.0,1254000000.0,2017/12/31,8.598,6.97,8.658,6.88
603123,50.00646998,37.44,1.380820746,1.24,5.127385305,5.0990181869999995,7.08,7418.88,5139480600.0,0,285256000,49547900.0,2167474700.0,524000000.0,2017/9/30,6.838,6.1,7.133,5.75
300542,347.94397050000003,274.16,6.470301721,6.79,6.226912088,5.09307033,40.29,1053.73,697905500.0,0,599900,343932000.0,130656600.0,91000000.0,2017/9/30,20.604,17.98,24.97,16.33
300718,43.38027752,33.07,7.561949641,4.04,5.424526999999999,5.092067,41.02,9455.91,659269500.0,0,32077900,110820000.0,84738900.0,100000000.0,2017/9/30,19.008,19.22,25.371,17.4
600067,11.98692077,14.44,1.1191684179999999,1.19,5.253900938,5.091782158,5.88,73187.77,20927864300.0,42589600,478247900,664305400.0,12610796200.0,1492000000.0,2017/12/31,6.086,3.97,6.36,3.87
